Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthWidth,MouthHeight,Timestamp
Sad,11.000000,11.045361,19.924859,16.155494,53.600373,47.518417,27.018512,90.000000,0.119000ms,
Doubt,14.035669,13.152946,18.027756,15.231546,49.040799,40.792156,28.071338,90.000000,0.241000ms,
Doubt,13.152946,13.000000,18.681542,15.231546,48.414874,41.773197,30.016662,91.021975,0.380000ms,
Sad,13.000000,12.000000,18.681542,15.231546,49.040799,41.976184,32.062439,91.000000,0.486000ms,
Doubt,12.000000,14.035669,17.720045,17.000000,49.203658,40.607881,32.015621,92.005435,0.626000ms,
Sad,12.041595,13.000000,17.720045,16.155494,46.861498,40.792156,32.015621,92.005435,0.733000ms,
Doubt,13.000000,12.000000,18.027756,15.811388,46.861498,39.812058,33.015148,94.005319,0.846000ms,
Doubt,12.000000,13.000000,18.973666,14.317821,46.861498,39.812058,33.015148,92.005435,0.962000ms,
Neutral,12.000000,12.000000,18.027756,17.000000,46.861498,39.458839,33.136083,94.005319,1.106000ms,
Neutral,13.000000,12.041595,18.027756,17.088007,46.861498,41.773197,32.062439,94.005319,1.227000ms,
Doubt,12.000000,13.000000,18.027756,14.317821,46.861498,39.812058,33.015148,95.005263,1.363000ms,
Doubt,12.000000,13.000000,18.027756,14.317821,46.861498,39.623226,33.015148,92.005435,1.469000ms,
Neutral,12.041595,13.000000,18.027756,17.000000,46.861498,40.447497,33.060551,94.005319,1.589000ms,
Neutral,12.000000,14.035669,18.027756,17.000000,48.414874,40.447497,34.058773,94.005319,1.698000ms,
Neutral,12.041595,13.038405,17.262677,16.155494,47.201695,41.593269,34.014703,94.005319,1.825000ms,
Doubt,13.000000,13.038405,16.492423,15.231546,47.634021,40.792156,34.014703,94.005319,1.925000ms,
Doubt,13.038405,13.000000,16.492423,14.866069,46.400431,40.607881,32.015621,96.083297,2.041000ms,
Doubt,13.000000,13.000000,16.763055,14.317821,47.010637,40.792156,32.015621,94.021274,2.154000ms,
Neutral,12.000000,13.000000,16.763055,16.552945,47.801674,40.792156,32.015621,96.020831,2.289000ms,
Neutral,12.041595,13.000000,16.492423,14.317821,46.400431,40.607881,33.015148,96.020831,2.413000ms,
Sad,12.000000,12.000000,16.492423,15.231546,49.203658,42.426407,33.015148,91.087870,2.525000ms,
Neutral,12.000000,12.041595,14.317821,12.649111,48.826222,41.773197,31.144823,96.083297,2.638000ms,
Neutral,9.000000,11.000000,16.278821,11.180340,47.707442,44.271887,32.140317,96.083297,2.755000ms,
Doubt,13.000000,12.041595,18.439089,16.155494,48.166378,40.024992,31.000000,97.020616,2.850000ms,
Neutral,12.041595,12.041595,18.973666,18.027756,51.224994,48.507731,30.066593,95.021050,2.979000ms,
