Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,Left Eyebrow to Eye Height,Right Eyebrow to Eye Height,Mouth Width,Mouth Height,
Neutral,11.000000,10.049876,19.646883,17.000000,52.801515,44.553339,33.000000,96.000000,
Neutral,11.000000,11.000000,18.681542,17.088007,52.801515,46.389654,33.015148,95.000000,
Neutral,11.045361,11.045361,18.681542,16.552945,51.613952,46.389654,33.015148,95.000000,
Neutral,11.000000,10.000000,18.973666,17.088007,53.600373,44.553339,33.015148,96.005208,
Neutral,11.000000,11.000000,17.720045,17.000000,51.613952,45.398238,33.000000,94.000000,
Neutral,11.000000,10.000000,18.973666,17.000000,52.201533,46.173586,32.015621,97.005155,
Neutral,11.000000,11.045361,16.763055,17.000000,51.400389,45.276926,34.014703,96.005208,
Neutral,11.000000,12.041595,17.720045,16.552945,51.613952,44.283180,34.000000,96.005208,
Neutral,11.000000,10.000000,18.027756,17.088007,51.400389,45.541190,34.014703,96.005208,
Neutral,10.000000,10.000000,17.088007,17.000000,51.613952,45.398238,34.000000,96.000000,
Neutral,10.000000,11.000000,18.027756,16.552945,51.613952,44.407207,35.000000,96.005208,
Neutral,11.000000,11.000000,17.720045,16.552945,51.039201,44.283180,34.014703,96.005208,
Neutral,10.000000,12.000000,17.088007,16.552945,53.009433,44.553339,34.000000,97.020616,
Neutral,11.000000,10.000000,18.027756,15.652476,51.400389,44.721360,34.014703,94.005319,
Neutral,10.049876,11.180340,18.027756,15.652476,51.400389,44.283180,34.014703,94.005319,
Neutral,10.049876,11.000000,18.027756,16.552945,51.613952,45.541190,34.014703,96.005208,
Neutral,10.000000,11.000000,18.384776,16.552945,52.801515,45.541190,33.015148,96.005208,
Neutral,10.000000,11.000000,18.027756,16.155494,52.201533,45.541190,33.015148,96.005208,
Neutral,10.000000,10.000000,18.027756,16.552945,51.613952,45.276926,35.014283,96.005208,
Happy,5.099020,7.000000,19.313208,19.697716,49.819675,44.283180,49.010203,125.035995,
Happy,5.000000,6.082763,18.681542,19.697716,50.606324,43.416587,48.041649,124.036285,
Sad,15.033296,14.000000,18.027756,18.384776,54.378304,50.635956,34.014703,88.005682,
Sad,14.035669,15.000000,17.464249,17.464249,53.851648,50.487622,33.015148,88.005682,
Sad,13.038405,13.000000,18.027756,18.384776,55.758407,51.478151,33.000000,88.000000,
Sad,13.038405,13.000000,16.763055,18.384776,55.226805,51.623638,33.015148,89.000000,
Sad,13.038405,12.000000,16.763055,18.384776,54.378304,50.487622,33.000000,89.005618,
Sad,14.000000,12.000000,18.681542,17.464249,53.851648,50.358713,33.000000,90.000000,
Sad,13.038405,13.000000,17.464249,17.464249,54.918121,49.648766,32.015621,90.005555,
Sad,12.041595,13.038405,18.439089,17.000000,55.226805,50.358713,34.014703,89.005618,
Sad,12.000000,13.038405,18.681542,17.888544,53.535035,50.249378,33.060551,90.005555,
Sad,12.000000,12.000000,18.439089,17.888544,54.708317,50.249378,34.014703,89.000000,
Sad,12.041595,12.000000,17.720045,18.384776,53.823787,48.373546,32.000000,89.000000,
Sad,12.000000,12.041595,18.681542,16.155494,51.312766,47.265209,32.000000,91.000000,
Sad,12.000000,11.180340,18.681542,16.155494,53.254108,47.518417,31.016125,89.000000,
Sad,12.000000,11.045361,17.720045,16.552945,52.697249,47.381431,33.000000,90.000000,
Sad,11.045361,12.041595,17.720045,17.464249,52.430907,47.381431,32.015621,88.005682,
Sad,12.041595,11.000000,18.027756,17.088007,53.254108,48.507731,33.000000,90.000000,
Sad,11.000000,12.000000,17.720045,16.552945,52.697249,47.265209,33.015148,91.000000,
Angry,8.062258,8.000000,14.317821,11.704700,40.459857,33.837849,57.008771,110.004545,
Angry,9.055385,9.000000,14.317821,13.000000,40.360872,32.893768,56.035703,107.004673,
Angry,9.000000,8.000000,14.317821,13.928388,42.449971,34.785054,54.037024,106.075445,
Angry,9.055385,9.000000,15.811388,13.000000,42.449971,34.205263,55.000000,105.004762,
Angry,9.055385,9.000000,14.560220,12.649111,41.036569,34.481879,54.037024,107.018690,
Angry,8.062258,9.055385,15.811388,12.649111,41.773197,34.481879,55.000000,105.019046,
Angry,8.000000,8.062258,15.524175,13.928388,44.687806,36.400549,55.000000,106.004717,
Angry,7.071068,7.071068,14.866069,12.649111,43.278170,37.107951,55.009090,106.000000,
Angry,7.071068,7.000000,14.866069,12.649111,44.821870,37.643060,54.009258,104.019229,
Angry,8.062258,8.000000,15.811388,13.000000,43.278170,36.138622,55.036352,106.018866,
Angry,8.000000,8.062258,13.928388,13.000000,44.821870,35.902646,53.037722,105.042848,
Angry,8.062258,8.000000,15.811388,12.649111,43.278170,36.400549,55.036352,105.019046,
Angry,8.000000,8.000000,14.560220,13.000000,44.045431,34.928498,53.000000,105.019046,
Angry,8.062258,9.000000,14.317821,13.928388,43.416587,34.928498,55.000000,104.019229,
Angry,8.062258,8.000000,14.866069,13.000000,43.278170,35.440090,53.037722,104.043260,
